Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Piazza Bra,Verona,Verona,Piazza Bra often shortened to Bra is the largest piazza in Verona Italy with some claims that it is the largest in the country,P131,Forwards
Scandic Hotels,Stockholm,Stockholm,Scandic Hotels is a hotel chain headquartered in Stockholm Sweden with its main operations in the Nordic countries,P159,Forwards
Germany,Denmark,Denmark,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Backwards
Mount St Marys School New Delhi,India,India,It is located in Delhi Cantt Delhi India at 75 Parade Road,P17,Forwards
Poland,European Union,European Union,It has the sixth largest economy in the European Union by nominal GDP and the fifth largest by GDP PPP,P150,Backwards
Laurens Jan Brinkhorst,Columbia University,Columbia University,Brinkhorst studied Law at the Leiden University obtaining a Master of Laws degree followed by a postgraduate education in Political science at the Columbia University obtained a Master of Social Science degree,P69,Forwards
Metro Manila,Pasay,Pasay,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
Norfolk Island,Australia,Australia,Norfolk Island is the main island in a group comprising the Australian external territory of Norfolk Island situated in the Pacific Ocean between Australia and New Zealand approximately 692160km 430160mi south of New Caledonia,P17,Forwards
University of Oxford,Oxford University Press,university press,Oxford operates the worlds oldest university museum as well as the largest university press in the world and the largest academic library system nationwide,P749,Backwards
UNESCO,United Nations,United Nations,The United Nations Educational Scientific and Cultural Organization UNESCO French Organisation des Nations unies pour léducation la science et la culture is a specialised agency of the United Nations UN aimed at promoting world peace and security through international cooperation in education the sciences and culture,P355,Backwards
Economy,Planned economy,commandbased economy,A commandbased economy is one where political agents directly control what is produced and how it is sold and distributed,P279,Backwards
Taiwan,Philippines,Philippines,Neighbouring countries include the Peoples Republic of China PRC to the northwest Japan to the northeast and the Philippines to the south,P530,Forwards
Gender equality in Ivory Coast,Gender equality,gender equality,There are multiple factors which contribute to gender equality in Ivory Coast Côte dIvoire,P279,Forwards
Theth National Park,National park,national park,The Theth National Park Albanian Parku Kombëtar i Thethit is a national park in northern Albania,P31,Forwards
Toronto,CN Tower,CN Tower,Toronto is known for its many skyscrapers and highrise buildings in particular the tallest freestanding structure in the Western Hemisphere the CN Tower,P276,Backwards
University of the South Pacific,Suva,Suva,The universitys main campus is in Suva Fiji with subsidiary campuses in each member state,P159,Forwards
European Union,Belgium,Belgium,   160Belgium,P150,Forwards
Vice Presidency of Al Gore,Al Gore,Al Gore,Al Gore was the 45th Vice President of the United States being twice elected alongside Bill Clinton in 1992 and 1996,P793,Backwards
2019 European Parliament election in France,Dominique Bourg,Dominique Bourg,Other lists included Urgence Écologie consisting of several small green parties led by Dominique Bourg garnering 182 of the vote Lutte Ouvrière with 078 of the vote and a list of gilets jaunes which collected 054 of the vote,P3602,Backwards
Bukit Barisan Selatan National Park,Tropical Rainforest Heritage of Sumatra,Tropical Rainforest Heritage of Sumatra,Together with Gunung Leuser and Kerinci Seblat national parks it forms a World Heritage Site Tropical Rainforest Heritage of Sumatra,P361,Forwards
Namibia,African Union,African Union,Namibia is a member state of the United Nations UN the Southern African Development Community SADC the African Union AU and the Commonwealth of Nations,P463,Forwards
Kirsten KappertGonther,Germany,German,Kirsten KappertGonther born 3 November 1966 is a German psychotherapist and politician of Alliance 90The Greens,P27,Forwards
Upper Harz Water Regale,Germany,Germany,The term regale here refers to the granting of royal privileges or rights droit de régale in this case to permit the use of water for mining operations in the Harz mountains of Germany,P17,Forwards
Athens,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens,Landmarks of the modern era dating back to the establishment of Athens as the capital of the independent Greek state in 1834 include the Hellenic Parliament and the socalled architectural trilogy of Athens consisting of the National Library of Greece the National and Kapodistrian University of Athens and the Academy of Athens,P159,Backwards
Old English,England,England,4501100language textEnglisċ pronounced160ˈeŋɡliʃ or AngloSaxon is the earliest recorded form of the English language spoken in England and southern and eastern Scotland in the early Middle Ages,P2596,Forwards
Bayalu Seeme,India,India,Bayaluseeme or Bayalu Seeme is the area lying to the east of Malenadu a region of Karnataka state in India,P17,Forwards
Leaf Rapids,Manitoba,Manitoba,Leaf Rapids is a town in north west Manitoba Canada,P131,Forwards
United Nations Statistics Division,United Nations Statistical Commission,United Nations Statistical Commission,The Division is overseen by the United Nations Statistical Commission established in 1947 as the apex entity of the global statistical system and highest decision making body for coordinating international statistical activities,P355,Backwards
New South Wales,Australia,Australia,New South Wales abbreviated as NSW is a state on the east coast of Australia,P150,Backwards
Buenos Aires City Legislature,Buenos Aires,Buenos Aires,The Buenos Aires City Legislature Spanish Legislatura de la Ciudad Autónoma de Buenos Aires commonly known as the Legislatura Porteña is a central part of the Government of the City of Buenos Aires Argentina,P194,Backwards
Ng Chonam,Conservancy Association,Conservancy Association,He was the director of the Conservancy Association from 2000 to 2019,P463,Forwards
Trillemarka,Norway,Norway,Trillemarka Trillemarka  Rollagsfjell is a 147160km2 57160sq160mi nature reserve located in Buskerud Norway,P17,Forwards
Malta island,Malta,Maltese,Malta is the largest of the three major islands that constitute the Maltese archipelago,P17,Forwards
Thomas activist,Washington DC,Washington DC,In 1981 Thomas traveled to Washington DC and spent several months at Mitch Snyders Community for Creative NonViolence,P551,Forwards
Nigeria,United Nations,United Nations,Nigeria is a founding member of the African Union and a member of many international organizations including the United Nations the Commonwealth of Nations the Economic Community of West African States and OPEC,P463,Forwards
Kwara State,Nigeria,Nigeria,Kwara Yoruba Ìpínlẹ̀ Kwárà is a state in Western  Nigeria,P150,Backwards
Netherlands,Germany,Germany,In Europe the Netherlands consists of twelve provinces bordering Germany to the east Belgium to the south and the North Sea to the northwest with maritime borders in the North Sea with those countries and the United Kingdom,P47,Backwards
Vernon Howard,United States,American,Vernon Linwood Howard March 16 1918 – August 23 1992 was an American spiritual teacher author and philosopher,P27,Forwards
Environmental economics,Ecological economics,ecological economics,Environmental economics is distinguished from ecological economics in that ecological economics emphasizes the economy as a subsystem of the ecosystem with its focus upon preserving natural capital,P1889,Backwards
New South Wales,Australia,Australia,New South Wales abbreviated as NSW is a state on the east coast of Australia,P131,Forwards
Nigeria,Demographics of Nigeria,population of 211 million,Nigeria is the largest country in both West Africa and Africa by population with a population of 211 million while covering an area of 923769 square kilometers,P276,Backwards
Architecture,Vernacular architecture,vernacular architecture,Architecture began as rural oral vernacular architecture that developed from trial and error to successful replication,P279,Backwards
IHE Delft Institute for Water Education,Netherlands,Netherlands,IHE Delft Institute for Water Education formerly known as UNESCOIHE Institute for Water Education is the largest international graduate water education facility in the world and is based in Delft Netherlands,P17,Forwards
Exosphere,Thermosphere,thermosphere,It is located directly above the thermosphere,P156,Backwards
Luc Hoffmann,World Wide Fund for Nature,World Wildlife Fund,He cofounded the World Wildlife Fund WWF helped establish the Ramsar Convention for the protection of wetlands and set up the Tour du Valat16091fr93 research centre in the Camargue area of France,P463,Forwards
Pump Aid,Nonprofit organization,nonprofit,Pump Aid is an international nonprofit organisation that was set up in 1998,P31,Forwards
Chuku Wachuku,Nigeria,Nigeria,He is a grandson of King Josaiah Ndubuisi Wachuku who was paramount chief Onye Isi servant leader and Eze of Ngwaland  in the then Aba Division of Eastern Nigeria Africa Commonwealth Earth1  ,P27,Forwards
Hanover,Germany,Germany,Its 535061 2017 inhabitants make it the 13thlargest city in Germany as well as the thirdlargest city in Northern Germany after Hamburg and Bremen,P17,Forwards
Gandi,Paris,Paris,The companys main office is in Paris,P159,Forwards
United States,United Nations,United Nations,It is a founding member of the United Nations World Bank International Monetary Fund Organization of American States NATO and other international organizations,P112,Backwards
Port Shelter,Hong Kong,Hong Kong,Port Shelter known in Cantonese as Ngau Mei Hoi Chinese58 牛尾海 Jyutping58 ngau4 mei5 hoi2 Cantonese Yale58 ngàuh méih hói is a harbour south of Sai Kung Peninsula in Hong Kong,P131,Forwards
Wikimedia Foundation,Wikimedia movement,Wikimedia movement,The foundation supports and participates in the Wikimedia movement owning the internet domain names of its projects and hosting its websites including Wikipedia Wikidata and Wikimedia Commons,P361,Forwards
Organic food,Food,food,Organic food is food produced by methods complying with the standards of organic farming,P279,Forwards
Kenya,Tanzania,Tanzania,Kenya is bordered by South Sudan to the northwest Ethiopia to the north Somalia to the east Uganda to the west Tanzania to the south and the Indian Ocean to the southeast,P47,Forwards
Developed country,Developing country,developing countries,They are contrasted with developing countries which are in the process of industrialisation or are preindustrial and almost entirely agrarian some of which might fall into the category of Least Developed Countries,P461,Backwards
Soil science,Pedology,pedology,Sometimes terms which refer to branches of soil science such as pedology formation chemistry morphology and classification of soil and edaphology how soils interact with living things especially plants are used as if synonymous with soil science,P279,Backwards
North Africa,Atlantic Ocean,Atlantic Ocean,Latitudinally the slopes of the arid desert devoid of continuous human habitation descend in steplike fashion toward the northern and southern edges of the Mediterranean that opens to Europe and the Sahel that opens to Trab al Sudan Longitudinally a uniform grid divides the central desert then shrinks back toward the Atlantic Ocean and the Red Sea,P47,Forwards
Geography,Environmental studies,Environmental studies,Environmental studies,P279,Backwards
The World WWE,New York City,New York City,The World originally opened as WWF New York was a World Wrestling Entertainment WWE themed restaurant nightclub and retail store in Times Square in New York City leased in the Paramount Theatre building,P159,Forwards
Wildlife management,Wildlife conservation,wildlife conservation,Wildlife management can include wildlife conservation gamekeeping and pest control,P1889,Forwards
Uroplatus phantasticus,Madagascar,Madagascar,Uroplatus phantasticus the satanic leaftailed gecko eyelash leaftailed gecko or the phantastic leaftailed gecko is a species of gecko indigenous to the island of Madagascar,P183,Forwards
Economy of Maharashtra,Maharashtra,Maharashtra,The economy of Maharashtra is the largest in India,P276,Forwards
Flanders,Belgium,Belgium,Flanders despite not being the biggest part of Belgium by area is the area with the largest population 682 if Brussels is included,P361,Forwards
Uganda Green Party,Green politics,green,The Uganda Green Party is a green political party in Uganda,P1142,Forwards
Brazil,United Nations,United Nations,Brazil is a founding member of the United Nations the G20 BRICS Mercosul Organization of American States Organization of IberoAmerican States and the Community of Portuguese Language Countries,P112,Backwards
TVaksjonen,Norway,Norwegian,TVaksjonen English The TV CampaignAuction is an annual national Norwegian charity fund raising event that since 1974 has been run by Norwegian public broadcaster NRK in conjunction with selected organizations,P495,Forwards
BBC,BBC World Service,BBC World Service,Since 1 April 2014 it has also funded the BBC World Service launched in 1932 as the BBC Empire Service which broadcasts in 28 languages and provides comprehensive TV radio and online services in Arabic and Persian,P112,Backwards
New South Wales,Sydney,Sydney,New South Wales state capital is Sydney which is also Australias most populous city,P1376,Backwards
Chesapeake Bay Foundation,United States,United States,The Chesapeake Bay Foundation CBF is a nonprofit organization devoted to the restoration and protection of the Chesapeake Bay in the United States,P17,Forwards
YMCA,Geneva,Geneva,YMCA sometimes regionally called the Y is a worldwide youth organization based in Geneva Switzerland with more than 64160million beneficiaries in 120 countries,P159,Forwards
Pleasant Valley Airport,Arizona,Arizona,Pleasant Valley Airport ICAO P48 is a privately owned publicuse airport located in Peoria in Maricopa County Arizona United States,P131,Forwards
Yangtze Delta,Shanghai,Shanghai,The Yangtze Delta or Yangtze River Delta YRD Chinese58 长江三角洲 or simply Chinese58 长三角 is a triangleshaped megalopolis generally comprising the Wu Chinesespeaking areas of Shanghai southern Jiangsu province and northern Zhejiang province,P131,Forwards
Paul Cattermole,S Club 7,S Club 7,Cattermole was a member of the group S Club 7 but left the group in 2002,P527,Backwards
Alan Macnaughton,Upper Canada College,Upper Canada College,Macnaughton was born in Greater Napanee Ontario and educated at Upper Canada College,P69,Forwards
Development economics,Economics,economics,Development economics is a branch of economics which deals with economic aspects of the development process in low income countries,P279,Forwards
United Kingdom,Republic of Ireland,Republic of Ireland,Northern Ireland shares a land border with the Republic of Ireland,P530,Forwards
Biodiversity,Life,life on Earth,Biodiversity is the biological variety and variability of life on Earth,P1552,Backwards
International development,Sustainable Development Goals,Sustainable Development Goals,The international community has codified development aims in for instance the Millennium Development Goals 2000 to 2015 and the Sustainable Development Goals 2015 to 2030,P921,Backwards
Southeast Asia,Philippines,Philippines,Maritime Southeast Asia also known as the Malay Archipelago and historically as Nusantara comprising the Andaman and Nicobar Islands India Brunei East Malaysia East Timor Indonesia the Philippines and Singapore,P361,Backwards
Kentucky,United States,United States,statestate in the Upland South region of the United States bordered by Illinois Indiana and Ohio to the north West Virginia and Virginia to the east Tennessee to the south and Missouri to the west,P131,Forwards
Maasai Mara,Kenya,Kenya,Maasai Mara also sometimes spelled Masai Mara and locally known simply as The Mara is a large national game reserve in Narok Kenya contiguous with the Serengeti National Park in Tanzania,P17,Forwards
Circular economy,Blue economy,blue economy,There is also a broad range of similar concepts or schools of thought including cradletocradle laws of ecology looped and performance economy regenerative design industrial ecology biomimicry and the blue economy,P941,Forwards
Norway,Svalbard,Svalbard,The remote Arctic island of Jan Mayen and the archipelago of Svalbard also form part of Norway,P17,Backwards
Current stream,Water,water,A current in a river or stream is the flow of water influenced by gravity as the water moves downhill to reduce its potential energy,P527,Forwards
Sun,Earth,Earth,It is by far the most important source of energy for life on Earth,P397,Backwards
China,Macau,Macau,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P17,Backwards
Sustainable Development Goal 3,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 3 SDG 3 or Global Goal 3 regarding Good Health and Wellbeing is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
Rwanda,African Union,African Union,    Motto160Ubumwe Umurimo Gukunda IgihuguUnity Work PatriotismAnthem160Rwanda nzizaEnglish Beautiful RwandaLocation of160Rwanda160dark blue–160in Africa160light blue amp160dark grey–160in the African Union160light blueCapitaland largest cityKigali1°56′38″S 30°3′34″Exfeff  xfeff194389°S 3005944°Exfeff  194389 3005944Official160languagesEnglishFrenchKinyarwandaSwahiliEthnic160groups  199485 Hutu14 Tutsi1 TwaReligion 938 Christianity30 No religion22 Islam10 OthersDemonymsRwandanRwandeseGovernmentUnitary dominantparty presidential constitutional republic•160President Paul Kagame•160Prime Minister Édouard Ngirente,P361,Forwards
Croatia,European Union,European Union,It is a member of the European Union the United Nations the Council of Europe NATO the World Trade Organization and a founding member of the Union for the Mediterranean,P150,Backwards
Responses to the COVID19 pandemic in April 2020,COVID19 pandemic,COVID19 pandemic,This article documents the chronology of the response to the COVID19 pandemic in April 2020 which originated in Wuhan China in December 2019,P1269,Forwards
Jan Terlouw,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Terlouw worked as a nuclear physics researcher at the Massachusetts Institute of Technology MIT from February 1960 until April 1962 and for the Royal Institute of Technology KTH from August 1965 until December 1966,P108,Forwards
Charles Bonar Sirait,Jakarta,Jakarta,Charles Bonar Sirait born March 19 1971 at Jakarta is a professional public figure and famous television presenter in Indonesia,P19,Forwards
Namibia,Botswana,Botswana,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P47,Backwards
Mesosphere,Thermosphere,thermosphere,The mesopause at an altitude of 80–90160km 50–56160mi separates the mesosphere from the thermosphere—the secondoutermost layer of Earths atmosphere,P155,Backwards
Goteo,Barcelona,Barcelona,The platform started in 2011 and is run by the Barcelonabased nonprofit Goteo Foundation,P131,Forwards
Seawater,Sea,sea,Seawater or salt water is water from a sea or ocean,P361,Forwards
Elsevier,Current Opinion Elsevier,Current Opinion, Its products include journals such as The Lancet and Cell the ScienceDirect collection of electronic journals the Trends and Current Opinion series of journals the online citation database Scopus the SciVal tool for measuring research performance the ClinicalKey search engine for clinicians and the ClinicalPath evidencebased cancer care service,P123,Backwards
Northwest Territories,Alberta,Alberta,The Northwest Territories is bordered by Canadas two other territories Nunavut to the east and Yukon to the west and by the provinces of British Columbia Alberta and Saskatchewan to the south and may touch Manitoba at a quadripoint to the southeast,P47,Forwards
Troposphere,Stratosphere,stratosphere,  Diagram showing the five primary layers of the Earths atmosphere exosphere thermosphere mesosphere stratosphere and troposphere,P156,Forwards
Latvia,World Trade Organization,WTO,Latvia is a member of the European Union Eurozone NATO the Council of Europe the United Nations CBSS the IMF NB8 NIB OECD OSCE Baltics and WTO,P463,Forwards
Montreal Biosphere,Montreal,Montreal,The Biosphere French La Biosphère also known as the Montreal Biosphere French La Biosphère de Montréal is a museum dedicated to the environment in Montreal Quebec Canada,P131,Forwards
Bauxite mining in Australia,Australia,Australia,Bauxite mining in Australia is an economically significant industry both for Australia and globally,P17,Forwards
Simple living,Lifestyle sociology,lifestyle,Simple living encompasses a number of different voluntary practices to simplify ones lifestyle,P31,Forwards
Tejas Thackeray,Uddhav Thackeray,Uddhav Thackeray,He is the son of Uddhav Thackeray an Indian politician serving as the 19th and current Chief Minister of Maharashtra leader of the Shiv Sena and grandson of Bal Thackeray,P40,Backwards
Thimphu,Bhutan,Bhutan,Thimphu tɪmˈpuː Dzongkha ཐིམ་ཕུ tʰim˥pʰu˥ formerly spelt as Thimbu or Thimpu is the capital and largest city of Bhutan,P17,Forwards
Rio de Janeiro state,Rio de Janeiro,Rio de Janeiro,The states 22 largest cities are Rio de Janeiro São Gonçalo Duque de Caxias Nova Iguaçu Niterói Campos dos Goytacazes Belford Roxo São João de Meriti Petrópolis Volta Redonda Magé Macaé Itaboraí Cabo Frio Armação dos Búzios Angra dos Reis Nova Friburgo Barra Mansa Barra do Piraí Teresópolis Mesquita and Nilópolis,P131,Backwards
Environmental Protection Agency Ireland,Republic of Ireland,Ireland,The Environmental Protection Agency EPA is responsible for protecting and improving the environment as a valuable asset for the people of Ireland,P17,Forwards
New Clark City,Philippines,Philippines,New Clark City is a planned community currently undergoing development and is located within the Clark Special Economic Zone in the towns of Capas and Bamban at the Tarlac province Philippines,P17,Forwards
The Sustainable City,Dubai,Dubai,The Sustainable City is a 46hectare property development in Dubai United Arab Emirates,P131,Forwards
Singapore,World Trade Organization,World Trade Organization,Singapore is also a member of the United Nations World Trade Organization East Asia Summit NonAligned Movement and the Commonwealth of Nations,P463,Forwards
Aspen Institute,Washington DC,Washington DC,The institute is headquartered in Washington DC United States and has campuses in Aspen Colorado its original home and near the shores of the Chesapeake Bay at the Wye River in Maryland,P159,Forwards
Biovision,Nonprofit organization,notforprofit organisation,The “Biovision Foundation for Ecological Development” is a notforprofit organisation involved in ecological and sustainable development projects for people living in Africa,P31,Forwards
Netherlands,World Trade Organization,WTO,The country is a founding member of the EU Eurozone G10 NATO OECD and WTO as well as a part of the Schengen Area and the trilateral Benelux Union,P463,Forwards
Sustainable Development Goal 12,Sustainable Development Goals,Sustainable Development Goals,It is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
Forestry,Silviculture,Silviculture,Silviculture is narrower than forestry being concerned only with forest plants but is often used synonymously with forestry,P361,Backwards
European Union,Croatia,Croatia,   160Croatia,P463,Backwards
United Kingdom,England,England,The United Kingdom consists of four countries England Scotland Wales and Northern Ireland,P131,Backwards
Cape Verde,African Union,African Union,Cape Verde is a member state of the African Union,P463,Forwards
Asia,Middle East,Middle East,It also has a mix of many different climates ranging from the equatorial south via the hot desert in the Middle East temperate areas in the east and the  continental centre to vast subarctic and polar areas in Siberia,P30,Backwards
Tanzania,Rwanda,Rwanda,It borders Uganda to the north Kenya to the northeast Comoro Islands and the Indian Ocean to the east Mozambique and Malawi to the south Zambia to the southwest and Rwanda Burundi and the Democratic Republic of the Congo to the west,P530,Forwards
Urban heat island,Urban area,urban area,An urban heat island UHI is an urban area or metropolitan area that is significantly warmer than its surrounding rural areas due to human activities,P279,Forwards
Godrej Group,Mumbai,Mumbai,Godrej Group is an Indian multinational conglomerate company headquartered in Mumbai Maharashtra India managed and largely owned by the Godrej family,P159,Forwards
Global Energy Monitor,Nongovernmental organization,nongovernmental organization,Global Energy Monitor is a San Franciscobased nongovernmental organization which catalogs worldwide  fossil fuel projects and shares information in support of clean energy,P31,Forwards
Elefant Traks,Australia,Australia,Elefant Traks is a record label based in Sydney Australia that predominantly releases Australian hip hop music,P17,Forwards
Denmark,OECD,OECD,It is among the founding members of NATO the Nordic Council the OECD OSCE and the United Nations it is also part of the Schengen Area,P463,Forwards
EnviroCapitalists,Freemarket environmentalism,freemarket environmentalism,In this book Anderson and Leal further developed the concept of freemarket environmentalism which they first described in their 1992 book Free Market Environmentalism,P921,Forwards
Austria,European Union,European Union,  There is an official dictionary the Österreichisches Wörterbuch published on commission by the Austrian Ministry of Education  Croatian Czech Hungarian Romani Slovak and Slovene are officially recognised by the European Charter for Regional or Minority Languages ECRML  Austrian schilling before 1999 Virtual Euro since 1 January 1999 Euro since 1 January 2002  The eu domain is also used as it is shared with other European Union member states,P150,Backwards
Springer ScienceBusiness Media,Berlin,Berlin,Originally founded in 1842 in Berlin it expanded internationally in the 1960s and through mergers in the 1990s and a sale to venture capitalists it fused with Wolters Kluwer and eventually became part of Springer Nature in 2015,P740,Forwards
Latvia,Council of the Baltic Sea States,CBSS,Latvia is a member of the European Union Eurozone NATO the Council of Europe the United Nations CBSS the IMF NB8 NIB OECD OSCE Baltics and WTO,P463,Forwards
Belgium,European Union,European Union,    Motto160Eendracht maakt macht160DutchLunion fait la force160FrenchEinigkeit macht stark160GermanUnity makes strengthAnthem160La BrabançonneEnglish The Brabantian Location of160Belgium160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityBrussels50°51′N 4°21′Exfeff  xfeff50850°N 4350°Exfeff  50850 4350Official160languagesDutchFrenchGermanReligion  2019,P361,Forwards
Indonesia,Australia,Australia,Other neighbouring countries include Singapore Vietnam the Philippines Australia Palau and India Andaman and Nicobar Islands,P530,Backwards
Bengal tiger,Tiger,tiger,The Bengal tiger is a tiger from a specific population of the Panthera tigris tigris subspecies that is native to the Indian subcontinent,P279,Forwards
White rhinoceros,Northern white rhinoceros,northern white rhinoceros,The white rhinoceros consists of two subspecies the southern white rhinoceros with an estimated 19682–21077 wildliving animals in the year 2015 and the much rarer northern white rhinoceros,P527,Forwards
Valenzuela Metro Manila,Caloocan,Caloocan,A landlocked chartered city located on the island of Luzon it is bordered by the province of Bulacan and cities of Caloocan Malabon and Quezon City,P47,Backwards
Earth System Research Laboratory,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,The Earth System Research Laboratory ESRL is a laboratory in National Oceanic and Atmospheric Administrations NOAA Office of Oceanic and Atmospheric Research OAR,P355,Backwards
Comparative physiology,Physiology,physiology,Comparative physiology is a subdiscipline of physiology that studies and exploits the diversity of functional characteristics of various kinds of organisms,P279,Forwards
Charity Guide,United States,United States,Charity Guide was a taxexempt nonprofit 501c3 organization in the United States dedicated to inspiring and facilitating volunteer opportunities through an approach known as flexible volunteerism,P17,Forwards
Alaska,Yukon,Yukon,A semiexclave of the US it borders the Canadian province of British Columbia and territory of Yukon to the east and has a maritime border with Russias Chukotka Autonomous Okrug to the west just across the Bering Strait,P47,Forwards
Chi Chi giant panda,London Zoo,London Zoo,Chi Chi Chinese58 姬姬 pinyin58 Jī Jī September 1954 in wild in Sichuan China – 22 July 1972 London Zoo was a wellknown female giant panda at London Zoo in England,P20,Forwards
Rolf Disch,Germany,Germany,Born in Freiburg im Breisgau Germany Disch has dedicated particular focus to regional renewable and sustainable energy,P27,Forwards
Philippines,Japan,Japan,The Philippines is bounded by the South China Sea to the west the Philippine Sea to the east and the Celebes Sea to the southwest and shares maritime borders with Taiwan to the north Japan to the northeast Palau to the east and southeast Indonesia to the south Malaysia and Brunei to the southwest Vietnam to the west and China to the northwest,P530,Forwards
Kerala,India,India,Kerala English ˈkɛrələ Malayalam160keɾɐɭɐm32listen is a state on the southwestern coast of India,P361,Forwards
Bangladesh,Bhutan,Bhutan,It is narrowly separated from Nepal and Bhutan by the Siliguri Corridor and from China by Sikkim in the north respectively,P530,Forwards
Northern white rhinoceros,White rhinoceros,white rhinoceros,The northern white rhinoceros Ceratotherium simum cottoni or northern squarelipped rhinoceros is one of two subspecies of the white rhinoceros the other being the southern white rhinoceros,P527,Backwards
Kanpur Zoological Park,India,India,Originally a natural habitat for fauna it is one of the few zoos in India created in a natural forest,P17,Forwards
Germany,Berlin,Berlin,    Anthem160Deutschlandlied91a93English Song of GermanyShow globeShow map of EuropeLocation of160Germany160dark green–160in Europe160light green amp160dark grey–160in the European Union160light greenCapitaland largest cityBerlin91b9352°31′N 13°23′Exfeff  xfeff52517°N 13383°Exfeff  52517 13383Official languagemwparseroutput noboldfontweightnormaland national languageGerman91c93DemonymsGermanGovernmentFederal parliamentary republic•160President FrankWalter Steinmeier•160Chancellor Angela Merkel•160Vice Chancellor Olaf Scholz,P1376,Backwards
Moraine Lake,Canada,Canada,Moraine Lake is a glaciallyfed lake in Banff National Park 14 kilometres 87160mi outside the village of Lake Louise Alberta Canada,P17,Forwards
Red owl,Madagascar,Madagascar,It is a rare resident of Madagascar that was virtually unknown from its discovery in 1876 to its rediscovery by researchers from the World Wide Fund for Nature in 1993,P183,Forwards
British Indian Ocean Territory,United Kingdom,United Kingdom,The British Indian Ocean Territory BIOT is a British overseas territory of the United Kingdom situated in the Indian Ocean halfway between Tanzania and Indonesia,P17,Forwards
Madagascar,Indonesia,Indonesia,Human settlement of Madagascar occurred by Austronesian peoples arriving on outrigger canoes from presentday Indonesia,P530,Forwards
Alberta,British Columbia,British Columbia,Alberta is bordered by British Columbia to the west Saskatchewan to the east the Northwest Territories NWT to the north and the a hrefwikiUSstate titleUS,P47,Backwards
Sustainable Energy for All,Sustainable energy,sustainable energy,Sustainable Energy for All SEforALL is an international organization working in partnership with the United Nations leaders in government the private sector financial institutions and civil society with as goal to drive further faster action toward the achievement of Sustainable Development Goal 7 which calls for universal access to sustainable energy by 2030 and the Paris Agreement which calls for reducing greenhouse gas emissions to limit climate warming to below 2° Celsius,P921,Forwards
The Burren,County Clare,County Clare,The Burren ˈbʌrən Irish Boireann meaning great rock is a region of environmental interest primarily located in northwestern County Clare Ireland dominated by glaciated karst or sometimes glaciokarst landscape,P131,Forwards
Colombia,World Trade Organization,WTO,Colombia is a member of major global and regional organisations including the United Nations the WTO the OECD the OAS the Pacific Alliance the Andean Community and a NATO Global Partner,P463,Forwards
Bhutan,Bangladesh,Bangladesh,It has since expanded relations with 55 countries including Bangladesh Israel Kuwait Brazil Japan Thailand and Turkey as well as the European Union,P530,Backwards
Pedology,Soil science,soil science,Pedology from Greek πέδον pedon soil and λόγος logos study is a discipline within soil science which focuses on understanding and characterizing soil formation evolution and the theoretical frameworks through which we understand a soil bodys often in the context of the natural environment,P361,Forwards
Aytzim,United States,United States,A grassroots allvolunteer organization Aytzim is active in the United States Canada and Israel,P17,Forwards
World economy,Economy,economy,The world economy or the global economy is the economy of all humans of the world referring to the global economic system which includes all economic activities which are conducted both within and between nations including production consumption economic management work in general exchange of financial values and trade of goods and services,P279,Forwards
Germany,Netherlands,Netherlands,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P47,Backwards
Foxfire magazine,United States,American,The Foxfire magazine began in 1966 written and published as a quarterly American magazine by students at Rabun GapNacoochee School a private secondary education school located in the US,P17,Forwards
North Africa,Maghreb,Maghreb,Varying sources have limited it to the countries of Algeria Libya Morocco and Tunisia a region that was known by the French during colonial times as Afrique du Nord and is known by Arabs as the Maghreb West The western part of Arab World,P706,Backwards
Rio de Janeiro state,Brazil,Brazil,Rio de Janeiro Portuguese pronunciation160ˈʁiu dʒi ʒɐˈnejɾu  River of January is one of the 27 federative units of Brazil,P131,Forwards
Namibia,South Africa,South Africa,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P530,Backwards
